,tool,ap_ext,ap_orig
0,BLIA,0.48086894704410904,0.4804773515781857
1,BRTracer,0.4815311534937393,0.4862292092055558
2,BugLocator,0.4451605612354017,0.4458496436336551
3,BLIA,0.4724528172855424,0.4745567415058548
4,BRTracer,0.5079574597173094,0.5071493723328067
5,BugLocator,0.4744337367515705,0.4746516921579641
6,BLIA,0.4976521796379956,0.4980716872741138
7,BRTracer,0.5086227601768757,0.5175996469079698
8,BugLocator,0.4744397587682934,0.4729522827295395
9,BLIA,0.5209993322987422,0.5230628646828013
10,BRTracer,0.5326263773734132,0.536794305397737
11,BugLocator,0.4748632898955578,0.4729940718891345
12,BLIA,0.4770772473924773,0.4736709439612165
13,BRTracer,0.4877027581920067,0.4884091498821762
14,BugLocator,0.4724640923024882,0.4727250874994649
15,BLIA,0.4749861029454434,0.4749667763714914
16,BRTracer,0.5123633451133198,0.5094074914962017
17,BugLocator,0.4723328967984295,0.4635826171173158
18,BLIA,0.491204988187157,0.4979497630468685
19,BRTracer,0.4949649020873817,0.4963718710763492
20,BugLocator,0.4484391157563515,0.4525954873493526
21,BLIA,0.4971434713182921,0.4941646468158138
22,BRTracer,0.517197343403882,0.5140889179271022
23,BugLocator,0.4765097501056501,0.4749063301215487
24,BLIA,0.4925433568583602,0.495264620086089
25,BRTracer,0.4879766566849358,0.4876233143508621
26,BugLocator,0.4497986821285044,0.4499400972448872
27,BLIA,0.4976478948514771,0.4950263288716477
28,BRTracer,0.5007204337891706,0.49676376119762505
29,BugLocator,0.4428057078651527,0.44051231305885546
30,BLIA,0.4980289902320037,0.4964769065691058
31,BRTracer,0.4898952104988332,0.4893001409596432
32,BugLocator,0.456160078110675,0.4521084335171459
33,BLIA,0.5222184136449153,0.5200328166772517
34,BRTracer,0.5064749064660496,0.5089052431279069
35,BugLocator,0.4664804433594626,0.4611878666533169
36,BLIA,0.4865122345279458,0.4859933749769242
37,BRTracer,0.5139347180639019,0.5128003160211184
38,BugLocator,0.4754652364520506,0.4769330108641856
39,BLIA,0.5268434475147141,0.52695577903158
40,BRTracer,0.5244854835542896,0.5213153202656859
41,BugLocator,0.4773115125999558,0.4792980904226318
42,BLIA,0.491139932599013,0.4940678518486574
43,BRTracer,0.4795070871427426,0.4805292549241441
44,BugLocator,0.466628101772912,0.4566810005695083
45,BLIA,0.5077181863679449,0.5075553438099457
46,BRTracer,0.5131144188018525,0.5161942860494302
47,BugLocator,0.4679137600655476,0.4707996684377768
48,BLIA,0.4986404098363285,0.4998219202985528
49,BRTracer,0.5063223598265454,0.5025788795303235
50,BugLocator,0.4528252060392886,0.4497267268407972
51,BLIA,0.5023668595679108,0.5032475871310436
52,BRTracer,0.5143476716235774,0.5107385437754163
53,BugLocator,0.4787311525412468,0.4773370386236844
54,BLIA,0.4896348584863042,0.4934950497323127
55,BRTracer,0.5058084769933057,0.5073143671393902
56,BugLocator,0.453998729143779,0.45376716898796904
57,BLIA,0.4929700919819131,0.4906852766437011
58,BRTracer,0.5135185882853694,0.5114131593895247
59,BugLocator,0.4690137261760277,0.4671916876002837
