project,BLIA,BLIA_ext,BRTracer,BRTracer_ext,BugLocator,BugLocator_ext,count
AMQP,0.6208485958485956,0.6244466551118433,0.5349148619292904,0.536670952592009,0.5392735638869366,0.5536134074698587,13
BATCH,0.5180157794249776,0.515043415277811,0.6228829121763904,0.61649135005663,0.5280823049456598,0.5228673597022014,13
BATCHADM,1.0,1.0,1.0,1.0,1.0,1.0,1
CAMEL,0.442120183512969,0.4401738582695215,0.5024311294295698,0.499696635495963,0.44820339255816455,0.44656078155740325,111
CODEC,0.5064560439560439,0.5064560439560439,0.2003032912361271,0.19988333025865956,0.4331163499882712,0.43309983852931866,2
COMPRESS,0.7919010989010987,0.7943650906841697,0.7308237792980439,0.7231856550869499,0.6981836125048165,0.6897948707053428,10
CONFIGURATION,0.6470833333333335,0.606707778606265,0.5980523255813954,0.5208515551461999,0.6419889937106917,0.6085342998774256,2
DATACMNS,0.5439416806277271,0.5468518793788624,0.42396758933645773,0.4148286917969209,0.36172377695985114,0.3638975378740753,13
DATAGRAPH,0.48771446078431363,0.48866684173669467,0.387412071975325,0.37869595520082105,0.33581528912854214,0.33529849255525945,4
DATAJPA,0.7117207080200503,0.6799793838709813,0.5224537635739966,0.5263870417490826,0.4493389073047685,0.44591549946263037,16
DATAMONGO,0.5609892394859098,0.5714146786465336,0.4611891085630407,0.46893828692006795,0.4332801895046531,0.4264012423147399,16
DATAREDIS,0.6524705836428324,0.6518549555751476,0.6982120832917311,0.6957921277020327,0.608207967278422,0.6108613780571714,11
DATAREST,0.5965291082091116,0.5965282759632714,0.4423716933723412,0.44551433703771953,0.40469401225926066,0.4097406460760625,11
HBASE,0.4601236252401556,0.45834382114092487,0.5176817330798705,0.5149664834857106,0.47248679566725754,0.4799208167356577,148
HIVE,0.22174535533910533,0.2279733301702397,0.393512050414727,0.39389219419817123,0.4234225567298173,0.4116637872947601,4
IO,1.0,1.0,1.0,1.0,1.0,1.0,1
JBMETA,0.05627705627705627,0.05627705627705627,0.05681183696259072,0.059587633516473545,0.060198349182437313,0.0568183668856085,1
LANG,0.8713068181818182,0.8759389446870266,0.80227495543672,0.800954569077408,0.7835736710736712,0.7789048329190795,22
LDAP,0.25,0.27499999999999997,0.25,0.2658333333333333,0.20000000000000004,0.2267261904761905,1
MATH,0.43425925925925923,0.43425925925925923,0.4091305165833468,0.4047923055583452,0.36962709378512487,0.36191227042955204,9
ROO,0.4174067669569065,0.4264572784037616,0.411065757633569,0.42968620697714394,0.3511598618962137,0.3656681616493489,40
SEC,0.6778129096318749,0.6808830088170446,0.6004237213449064,0.5932659263662006,0.6121695257568994,0.6083419513300145,29
SECOAUTH,0.7783333333333331,0.7428115463655328,0.4490384615384616,0.4495398254085835,0.3440000000000001,0.32027969678298307,2
SGF,0.5009655252191049,0.5028313699584582,0.44175595572004067,0.48371456050924644,0.49548360984772044,0.4796750000321227,10
SHDP,0.2908056064306065,0.28748762564182717,0.29730669353675016,0.2973085660445856,0.2582508159295356,0.2549581772103193,3
SOCIAL,0.6845238095238095,0.6833333333333333,0.6143939393939395,0.6143939393939395,0.595817532766076,0.5913344208112774,3
SOCIALFB,0.025000000000000005,0.025645854833161348,0.36111111111111094,0.36388888888888876,0.3088235294117646,0.30522875816993456,1
SOCIALTW,0.638095238095238,0.638095238095238,0.60625,0.6104166666666667,0.41018548340624267,0.4192618076239943,2
SPR,0.5,0.44214285714285706,0.3333333333333332,0.34166666666666656,0.125,0.12628968253968254,1
SWARM,0.34851742919389983,0.3358121341287114,0.39373400184168666,0.3844169622552124,0.22257678565244654,0.21956558395094197,6
SWF,0.7686141304347825,0.7547681169541736,0.7217948717948717,0.7058379277259789,0.7375359195402298,0.7339078200437992,8
SWS,0.4036562733243768,0.40853110325634956,0.4223546752392906,0.42202783221132945,0.45816978038978784,0.4536531231869829,10
WFCORE,0.29837993446301253,0.30336984879267676,0.35601143433923144,0.35838523230184677,0.3028020555373642,0.3044739377006644,56
WFLY,0.3984777099944901,0.40132485234925735,0.48823351813528576,0.49047769200569535,0.5029409137188667,0.4987956130429839,4
